Parameters,R,T,n,n_boxed,n_exc,logged,strict,run_id
93M,1,0.1,5001,33,0,0.0141971605678864,0.0,rywqzw5g
93M,1,0.1778,5001,52,0,0.0151969606078784,0.0003999200159968,nqkx12ct
93M,1,0.3162,5001,126,0,0.0127974405118976,0.0003999200159968,lywsffiz
93M,1,0.5623,5001,800,0,0.0107978404319136,0.0035992801439712,ny7ws1r1
93M,1,0.75,5001,1544,0,0.0111977604479104,0.0055988802239552,ris60eos
93M,1,0.93804187,5001,844,0,0.0121975604879024,0.0015996800639872,s6jqdupb
93M,1,1.0,5001,456,0,0.0133973205358928,0.0011997600479904,id6t4p28
93M,1,1.29154967,5001,0,0,0.0095980803839232,0.0,71txekyr
93M,1,1.5,5001,0,0,0.0257948410317936,0.0,tgdcz218
93M,3,0.0,5001,51,0,0.0141971605678864,0.0001999600079984,d8p2iszh
93M,3,0.1,5001,50,0,0.0117976404719056,0.0001999600079984,eclac3qe
93M,3,0.1778,5001,72,0,0.0141971605678864,0.0003999200159968,bik5podq
93M,3,0.3162,5001,203,0,0.0145970805838832,0.0005998800239952,jogf7698
93M,3,0.5623,5001,1167,0,0.0167966406718656,0.0045990801839632,mdlsjjcv
93M,3,0.75,5001,2382,0,0.01499700059988,0.0087982403519296,4ccogw6v
93M,3,0.93804187,5001,2262,0,0.0117976404719056,0.007998400319936,0yfqc1vk
93M,3,1.0,5001,1549,0,0.0091981603679264,0.0017996400719856,aze4pskd
93M,3,1.29154967,5001,0,0,0.0115976804639072,0.0,d8yq5u02
93M,3,1.5,5001,0,0,0.0183963207358528,0.0,138r7ucs
93M,10,0.0,5001,90,0,0.0175964807038592,0.0001999600079984,zeiydfz2
93M,10,0.1,5001,156,0,0.0157968406318736,0.0005998800239952,hlm65jnr
93M,10,0.1778,5001,255,0,0.0173965206958608,0.0005998800239952,ala9d8qk
93M,10,0.3162,5001,633,0,0.0171965606878624,0.0027994401119776,424bozwb
93M,10,0.5623,5001,2282,0,0.0177964407118576,0.0083983203359328,g5hln02e
93M,10,0.75,5001,3242,0,0.0143971205758848,0.0085982803439312,cjzidpq3
93M,10,0.93804187,5001,3062,0,0.0121975604879024,0.0061987602479504,vr98j628
93M,10,1.0,5001,2153,0,0.010997800439912,0.0045990801839632,sd3gq03o
93M,10,1.29154967,5001,1,0,0.0157968406318736,0.0,oxaj5zvp
93M,10,1.5,5001,0,0,0.003999200159968,0.0,e2dviaza
93M,32,0.0,5001,2073,0,0.0253949210157968,0.0141971605678864,1vkk44fb
93M,32,0.1,5001,2114,0,0.0215956808638272,0.010997800439912,tigkonh4
93M,32,0.1778,5001,2318,0,0.0203959208158368,0.011997600479904,vf6yw8ki
93M,32,0.3162,5001,2717,0,0.0201959608078384,0.0131973605278944,v7ioisyg
93M,32,0.5623,5001,3704,0,0.0215956808638272,0.0145970805838832,88ulzch2
93M,32,0.75,5001,4173,0,0.0177964407118576,0.0151969606078784,qewb07y0
93M,32,0.93804187,5001,3481,0,0.011997600479904,0.0065986802639472,va5cwhtt
93M,32,1.0,5001,2276,0,0.0133973205358928,0.0051989602079584,o76qq9e6
